date,Public
01/03/2006,6047
01/06/2006,6035
01/09/2006,6028
01/12/2006,6005
01/03/2007,6009
01/06/2007,6001
01/09/2007,5997
01/12/2007,5987
01/03/2008,5975
01/06/2008,5990
01/09/2008,6146
01/12/2008,6399
01/03/2009,6407
01/06/2009,6407
01/09/2009,6440
01/12/2009,6428
01/03/2010,6420
01/06/2010,6397
01/09/2010,6358
01/12/2010,6306
01/03/2011,6284
01/06/2011,6198
01/09/2011,6173
01/12/2011,6123
01/03/2012,6086
01/06/2012,5844
01/09/2012,5835
01/12/2012,5809
01/03/2013,5801
01/06/2013,5798
01/09/2013,5817
01/12/2013,5632
01/03/2014,5526
01/06/2014,5508
01/09/2014,5512
01/12/2014,5494
01/03/2015,5473
01/06/2015,5449
01/09/2015,5452
01/12/2015,5444
01/03/2016,5444
01/06/2016,5426
01/09/2016,5437
01/12/2016,5431
01/03/2017,5425
01/06/2017,5440